id,title,description,tags,category,image_url
1,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","drama, prison, hope, friendship",Movie,https://m.media-amazon.com/images/I/51NiGlapXlL.jpg
2,The Godfather,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","crime, family, mafia, power",Movie,https://m.media-amazon.com/images/I/51n1cc6a0gL.jpg
3,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.","action, superhero, dc, gotham",Movie,https://m.media-amazon.com/images/I/51jNORvRQQL.jpg
4,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","crime, nonlinear, black comedy, ensemble",Movie,https://m.media-amazon.com/images/I/517VNLz8tEL.jpg
5,Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold through the perspective of an Alabama man.","drama, romance, historical, disability",Movie,https://m.media-amazon.com/images/I/517Uw3WUCuL.jpg
6,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.","sci-fi, action, heist, dreams",Movie,https://m.media-amazon.com/images/I/51R-tE7D5bL.jpg
7,The Matrix,"A computer programmer is led to fight an underground war against powerful computers who have constructed his entire reality with a system called the Matrix.","sci-fi, action, philosophy, reality",Movie,https://m.media-amazon.com/images/I/51EG732BV3L.jpg
8,Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners.","crime, biographical, drama, gangster",Movie,https://m.media-amazon.com/images/I/51WAkPtE5XL.jpg
9,The Lord of the Rings,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring.","fantasy, adventure, epic, fellowship",Movie,https://m.media-amazon.com/images/I/51fzvbw09NL.jpg
10,Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","drama, thriller, anti-establishment, identity",Movie,https://m.media-amazon.com/images/I/51FuDtTNujL.jpg
11,Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","sci-fi, space, time, nasa",Movie,https://m.media-amazon.com/images/I/51NIZ2X4j5L.jpg
12,The Pianist,"A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto by the Nazis.","drama, war, music, survival",Movie,https://m.media-amazon.com/images/I/51VHC4X15BL.jpg
13,Gladiator,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.","action, drama, roman, revenge",Movie,https://m.media-amazon.com/images/I/51xxdsRj9DL.jpg
14,The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion.","drama, mystery, magic, rivalry",Movie,https://m.media-amazon.com/images/I/51VPHtP84BL.jpg
15,Avatar,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world.","sci-fi, adventure, alien, nature",Movie,https://m.media-amazon.com/images/I/51N71I622BL.jpg
16,Braveheart,"Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","action, drama, history, scotland",Movie,https://m.media-amazon.com/images/I/51OIS4I5QLL.jpg
17,The Departed,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","crime, drama, police, undercover",Movie,https://m.media-amazon.com/images/I/51B74AY52BL.jpg
18,Whiplash,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","drama, music, mentor, obsession",Movie,https://m.media-amazon.com/images/I/51O7eZ9Z8HL.jpg
19,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","comedy, crime, finance, wall street",Movie,https://m.media-amazon.com/images/I/51X3J49HX7L.jpg
20,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","romance, musical, dreams, jazz",Movie,https://m.media-amazon.com/images/I/51xO4LZsVeL.jpg
